,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,praia da vitoria,38.7333,-27.0667,62.01,94,40,12.73,PT,1615084287
1,samusu,-33.65,115.3333,73,76,13,1.99,AU,1615084248
2,albany,42.6001,-73.9662,23,55,3,1.01,US,1615084201
3,avarua,-21.2078,-159.775,78.8,94,75,14.97,CK,1615084339
4,hami,42.8,93.45,43.74,53,0,5.91,CN,1615084339
5,mataura,-46.1927,168.8643,53.01,76,56,18.99,NZ,1615084339
6,barbar,-33.65,115.3333,73,76,13,1.99,AU,1615084248
7,ust-nera,64.5667,143.2,-20.92,76,100,7.02,RU,1615084339
8,ushuaia,-54.8,-68.3,50,40,20,11.5,AR,1615084182
9,tiksi,71.6872,128.8694,-16.91,87,100,7.92,RU,1615084340
10,belushya guba,-33.65,115.3333,73,76,13,1.99,AU,1615084248
11,ginir,7.1333,40.7,55.54,41,97,4.74,ET,1615084340
12,bredasdorp,-34.5322,20.0403,60.8,82,3,8.05,ZA,1615084340
13,roscommon,53.6333,-8.1833,34.56,89,57,5.03,IE,1615084341
14,karasuk,53.7377,78.0403,10.78,93,100,5.08,RU,1615084341
15,sharjah,25.3573,55.4033,69.8,77,40,8.05,AE,1615084341
16,arraial do cabo,-22.9661,-42.0278,74.17,94,100,10.27,BR,1615084071
17,lebu,-37.6167,-73.65,57.52,94,19,4.43,CL,1615084341
18,punta arenas,-53.15,-70.9167,48.2,61,20,27.63,CL,1615084342
19,bouafle,6.9904,-5.7442,78.8,83,40,9.22,CI,1615084342
20,hobart,-42.8794,147.3294,71.01,52,75,11.5,AU,1615084323
21,cayenne,4.9333,-52.3333,80.01,94,90,4.61,GF,1615084342
22,abatskoye,56.2875,70.4555,3.22,94,62,8.08,RU,1615084342
23,touros,-5.1989,-35.4608,77,88,40,3.44,BR,1615084342
24,cabo san lucas,22.8909,-109.9124,68,73,20,2.3,MX,1615084082
25,vaini,-21.2,-175.2,86,74,75,13.8,TO,1615084343
26,kiunga,-6.1219,141.2906,86.59,63,81,3.36,PG,1615084343
27,saldanha,-33.0117,17.9442,57.2,82,17,3.44,ZA,1615084343
28,dunda,-8.1167,34.25,64.8,93,100,2.84,TZ,1615084343
29,thinadhoo,0.5333,72.9333,82.56,79,9,13.29,MV,1615084343
30,ramnagar,29.4,79.1167,74.71,20,39,3.4,IN,1615084343
31,rive-de-gier,45.5307,4.6213,41,93,60,5.75,FR,1615084343
32,narsaq,60.9167,-46.05,42.8,31,75,26.46,GL,1615084344
33,kruisfontein,-34.0033,24.7314,66.99,75,2,1.99,ZA,1615084344
34,macusani,-14.0833,-70.4333,34.38,90,100,3.13,PE,1615084344
35,soyo,-6.1349,12.3689,75.85,85,100,4.36,AO,1615084268
36,grand river south east,-33.65,115.3333,73,76,13,1.99,AU,1615084248
37,balkanabat,39.5108,54.3671,45.5,67,0,8.75,TM,1615084344
38,attingal,8.6833,76.8333,82.4,74,20,3.44,IN,1615084344
39,algeciras,36.1333,-5.4505,59,88,90,18.41,ES,1615084344
40,longyearbyen,78.2186,15.6401,1.4,71,40,14.97,SJ,1615084245
41,lang son,21.8333,106.7333,67.98,62,89,7.23,VN,1615084215
42,almeirim,-1.5233,-52.5817,74.89,92,100,2.44,BR,1615084345
43,tadine,-21.55,167.8833,78.58,68,6,14.09,NC,1615084345
44,meulaboh,4.1363,96.1285,81.84,73,100,3.02,ID,1615084345
45,rikitea,-23.1203,-134.9692,79.99,80,82,13.27,PF,1615084345
46,dicabisagan,17.0818,122.4157,80.47,64,64,6.33,PH,1615084345
47,chuy,-33.6971,-53.4616,65.05,83,21,2.8,UY,1615084346
48,kapaa,22.0752,-159.319,71.6,78,90,18.41,US,1615084346
49,roma,43.2128,-75.4557,21,93,90,1.52,US,1615084346
50,samalaeulu,-33.65,115.3333,73,76,13,1.99,AU,1615084248
51,provideniya,64.3833,-173.3,4.19,91,100,5.59,RU,1615084346
52,thompson,55.7435,-97.8558,41,52,75,10.36,CA,1615084347
53,cherskiy,68.75,161.3,-9.87,88,100,8.68,RU,1615084347
54,busselton,-33.65,115.3333,73,76,13,1.99,AU,1615084248
55,codrington,-38.2667,141.9667,72.37,42,100,6.93,AU,1615084347
56,new norfolk,-42.7826,147.0587,71.01,49,100,1.01,AU,1615084347
57,roald,62.5833,6.1333,33.01,93,90,14.97,NO,1615084347
58,barrow,71.2906,-156.7887,-7.6,71,1,9.22,US,1615084348
59,saint anthony,45.0205,-93.218,39.2,44,1,3.44,US,1615084250
60,labuhan,-6.8844,112.2051,79.66,79,95,6.42,ID,1615084348
61,kryry,50.1744,13.4266,30.99,79,0,2.3,CZ,1615084348
62,the valley,18.217,-63.0578,77,78,20,12.66,AI,1615084349
63,atuona,-9.8,-139.0333,79.54,74,17,13.85,PF,1615084349
64,bluff,-46.6,168.3333,53.01,76,72,18.99,NZ,1615084271
65,attawapiskat,-33.65,115.3333,73,76,13,1.99,AU,1615084248
66,faanui,-16.4833,-151.75,83.46,68,36,11.72,PF,1615084349
67,tasiilaq,65.6145,-37.6368,26.6,86,90,19.57,GL,1615084350
68,tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,12.66,CA,1615084350
69,cape town,-33.9258,18.4232,66,88,75,3.44,ZA,1615084350
70,vestmannaeyjar,63.4427,-20.2734,39.85,74,75,10.04,IS,1615084350
71,manokwari,-0.8667,134.0833,79.84,76,100,2.82,ID,1615084350
72,alyangula,-13.8483,136.4192,89.6,58,40,10.36,AU,1615084323
73,aksarka,66.5606,67.7975,-12.3,89,87,7.78,RU,1615084351
74,ancud,-41.8697,-73.8203,59,100,90,2.3,CL,1615084351
75,tuatapere,-46.1333,167.6833,53.01,76,68,18.99,NZ,1615084351
76,olafsvik,64.8945,-23.7142,40.57,86,69,7.14,IS,1615084351
77,vostok,46.4856,135.8833,11.17,92,84,6.24,RU,1615084351
78,umzimvubu,-33.65,115.3333,73,76,13,1.99,AU,1615084248
79,tura,25.5198,90.2201,77.25,54,0,4.29,IN,1615084352
80,balvi,57.1313,27.2658,27.57,93,100,16.58,LV,1615084352
81,ponta do sol,32.6667,-17.1,57,62,14,3,PT,1615084352
82,yellowknife,62.456,-114.3525,15.01,85,90,10.36,CA,1615084201
83,livingstonia,-10.606,34.1063,64.27,93,100,3.71,MW,1615084352
84,chumikan,54.7183,135.315,2.41,85,0,25.52,RU,1615084352
85,kaitangata,-46.2817,169.8464,57,53,51,11.01,NZ,1615084353
86,hithadhoo,-0.6,73.0833,82.63,76,12,7.34,MV,1615084353
87,bonavista,48.6499,-53.1147,30.99,86,85,2.3,CA,1615084353
88,hermanus,-34.4187,19.2345,63,84,4,1.99,ZA,1615084353
89,mahebourg,-20.4081,57.7,78.8,89,75,13.8,MU,1615084353
90,nikolskoye,59.7035,30.7861,27,86,90,26.84,RU,1615084353
